"","GovUnit","County (1) or Municipality (2)","Population","RecyclingEnforcePersonnel","TipFee","PAYT/SMART","PropertyTax","PerHouseCharge","HHServedTrash","HHServedRecycling","HHServedYard","RecyclingServiceType","TrashServiceType","FoodServiceType","YardWasteServiceType","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","State","PopulationDensity","Households","MedIncome","AvgIncome","PctLessHS","PctHS","PctBachelororMore","Gini"
"295","MAGNOLIA","2","824","No","No","No","Yes","Yes","400",NA,"400","Dropoff","Curbside","None","Curbside","Yes",NA,"No",511,NA,54.17,0,0,"NC",771.184936893832,430,36324,54679,45.4,47.9,6.7,0.4439
"296","MAIDEN","2","3743","No","No","No","Yes","Yes","1592","1592","1592","Curbside","Curbside","None","Curbside","Yes",NA,"No",1351,287,273,0,350,"NC",642.863702938566,1198,78667,76450,9.2,74.4,16.4,0.3476
"297","MANTEO","2","1604","No","No","No","Yes","No","502","285",NA,"Curbside","Curbside","None","None","Yes",NA,"No",2309.85,214.19,NA,NA,468,"NC",854.61309794272,862,62708,84159,4.3,51,44.7,0.4538
"298","MARIETTA","2","110","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",98.4599507846593,56,35000,50596,8.8,69.9,21.3,0.417
"299","MARION","2","7707","No","No","No","Yes","Yes","3200","3200","3200","Curbside","Curbside","None","Curbside","No",NA,"No",4367.67,397.64,475.46,0,0,"NC",1300.82557501724,2914,41117,51235,25.2,58.6,16.1,0.4229
"300","MARS HILL","2","2006","No","No","No","Yes","No","790","790","790","Curbside","Curbside","None","Curbside","Yes",NA,"No",507.58,57.41,71.25,0,0,"NC",1007.57734385592,856,56000,68948,4.2,49.1,46.8,0.43
"301","MARSHALL","2","776","No","No","No","Yes","No","535",NA,NA,"None","Curbside","None","None","No",NA,"No",259.58,NA,0,44.3,NA,"NC",194.82030710267,301,34583,48534,29.7,45.3,25,0.4458
"302","MARSHVILLE","2","2532","No","No","No","No","Yes","900","355","900","Curbside","Curbside","None","Curbside","Yes",NA,"No",660,42,24,0,0,"NC",1193.13835050207,851,42139,48459,25.9,69.7,4.3,0.3558
"303","MARVIN","2","6385","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",1066.65015136441,NA,NA,NA,NA,NA,NA,NA
"304","MATTHEWS","2","29506","No","No","No","Yes","No","9229","9229","9229","Curbside","Curbside","None","Curbside","Yes",NA,"No",8822.5,2535.53,2541.4,0,0,"NC",1724.02994414021,12125,89881,108629,5.1,41.2,53.7,0.4178
"305","MAXTON","2","2098","No","No","No","No","Yes","900",NA,"900","Dropoff","Curbside","None",NA,"Yes",NA,"No",1186.05,NA,0,763.02,0,"NC",777.566302464008,1025,23563,35883,20.1,69.1,10.8,0.4896
"306","MAYODAN","2","2420","No","No","Yes","No","Yes","1034","1034","1034","Curbside","Curbside","None","Curbside","Yes",NA,"No",111,123.33,NA,NA,846,"NC",841.22982235364,1182,28984,45174,21.4,66.9,11.6,0.4852
"307","MAYSVILLE","2","813","Yes","No","No","No","Yes","383",NA,NA,"None","Curbside","None","None","Yes",NA,"No",374.93,NA,NA,NA,NA,"NC",949.432247881424,360,47500,49792,13.2,68.7,17.9,0.3545
