"","GovUnit","County (1) or Municipality (2)","Population","RecyclingEnforcePersonnel","TipFee","PAYT/SMART","PropertyTax","PerHouseCharge","HHServedTrash","HHServedRecycling","HHServedYard","RecyclingServiceType","TrashServiceType","FoodServiceType","YardWasteServiceType","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","State","PopulationDensity","Households","MedIncome","AvgIncome","PctLessHS","PctHS","PctBachelororMore","Gini"
"1","ABERDEEN","2","8551","No","Yes","No","No","Yes","3739","3739","3739","Curbside","Curbside","None","Curbside","Yes",NA,"No",3032.32,443.19,0,1608.52,0,"NC",842.690114337409,3136,58770,68054,5.6,58.4,36.1,0.3791
"2","AHOSKIE","2","4844","No","No","No","Yes","Yes","1864","1864","1864","Curbside","Curbside","None","Curbside","Yes",NA,"No",1962.56,148.22,NA,NA,1560,"NC",1100.65601278101,1906,35972,46769,21.5,61.1,17.5,0.4587
"3","ALAMANCE","2","991","No","No","No","Yes","Yes","390","390","390","Curbside","Curbside","None","Curbside","Yes",NA,"No",369.17,82.95,23,0,0,"NC",1246.33904152781,NA,NA,NA,NA,NA,NA,NA
"4","ALBEMARLE","2","16437","No","Yes","Yes","Yes","Yes","6238","6238","6238","Both","Curbside","None","Curbside","Yes",NA,"No",6969.61,927.49,5217.69,0,-2833.46,"NC",941.414688924061,6258,44294,58926,15.5,67.3,17.1,0.4707
"5","ALLIANCE","2","732","No","No","No","No","Yes","809",NA,NA,"None","Curbside","None","None","Yes",NA,"No",247.71,NA,NA,NA,NA,"NC",350.882920362048,440,32500,43882,21.7,72.2,6.2,0.4676
"6","ANDREWS","2","1663","No","No","No","Yes","Yes","743",NA,NA,"None","Curbside","None","None","Yes",NA,"No",1081.98,NA,NA,NA,NA,"NC",966.14683650748,789,29612,44230,21.1,69.9,9,0.4403
"7","ANGIER","2","5288","No","Yes","No","No","Yes","3200","3200","3200","Curbside","Curbside","None","Curbside","Yes",NA,"No",2734,324,NA,NA,522,"NC",1652.90803421932,2104,45132,58410,17.4,57,25.6,0.4379
"8","ANSONVILLE","2","439","No","Yes","No","No","Yes","360",NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",298.346500956489,253,43958,57596,23.3,71.6,5.1,0.4511
"9","APEX","2","59368","Yes","No","No","Yes","Yes","21169","21504","21073","Curbside","Curbside","None","Curbside","Yes",NA,"No",14692.7884,4204.91,7299.37,0,0,"NC",2700.25615033198,19228,112549,133070,2.5,35.2,62.3,0.3823
"10","ARAPAHOE","2","415","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",191.13813931133,200,67500,82776,13.8,77.9,8.3,0.4864
"11","ARCHDALE","2","11923","No","No","No","No","Yes","4689","4122","3048","Curbside","Curbside","Backyard","Curbside","Yes",NA,"No",3459,731,NA,NA,405.4,"NC",1349.73265956792,4704,56658,70164,10.9,70.1,19.1,0.3746
"12","ARCHER LODGE","2","4836","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",533.350234281516,2068,70000,135342,14.1,60.1,25.8,0.5793
"13","ASHEBORO","2","27191","Yes","No","No","Yes","Yes","8000","8000",NA,"Both","Curbside","None","Curbside","Yes",NA,"No",13502,318,2069,0,NA,"NC",1439.22697718187,10741,37171,48414,21.5,60.6,18,0.4323
"14","ASHEVILLE","2","94855","Yes","No","No","Yes","Yes","30000","29687","30000","Curbside","Curbside","Backyard","Curbside","Yes",NA,"Yes",24198,9502.76,6898,0,0,"NC",2086.07752753853,39895,53621,75787,7.4,42.7,50,0.4772
"15","ASKEWVILLE","2","183","No","No","No","Yes","No","100",NA,NA,"None","Curbside","None","None","No",NA,"No",77.48,NA,NA,NA,NA,"NC",309.170814240892,89,36250,55618,9,84.2,6.9,0.4702
"16","ATKINSON","2","297","No","No","No","No","Yes","172","170",NA,"Curbside","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",300.055612434131,114,34167,49417,16.5,74.4,9.1,0.4041
"17","ATLANTIC BEACH","2","1362","No","No","No","Yes","Yes","3047","3075","3047","Both","Curbside","None","Curbside","Yes",NA,"No",1945.6,295.19,119,0,0,"NC",582.282268538707,990,59348,81697,2.9,59.4,37.7,0.4809
"18","AULANDER","2","760","No","No","No","No","Yes","372",NA,"372","None","Curbside","None","Curbside","No",NA,"No",61.77,NA,NA,NA,80,"NC",514.506963108448,392,42071,53812,26.4,67.9,5.7,0.4029
"19","AURORA","2","454","No","No","No","No","Yes","258",NA,"258","None","Curbside","None","Curbside","Yes",NA,"No",264,NA,NA,NA,120,"NC",489.127872869348,320,38026,48993,12.3,82.2,5.5,0.4482
"20","AUTRYVILLE","2","166","Yes","No","No","No","Yes","130",NA,NA,"None","Curbside","None","None","No",NA,"No",96.01,NA,NA,NA,NA,"NC",317.716681724519,80,36000,57971,26.6,60.7,12.7,0.3957
"21","AYDEN","2","4972","Yes","No","No","Yes","Yes","2002","2002",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",2247.58,139.85,NA,NA,NA,"NC",1303.61569531675,2041,53317,52629,12.3,70.9,16.8,0.4034
"22","BADIN","2","2024","No","No","No","Yes","No","650",NA,"650",NA,"Curbside","None","Curbside","No",NA,"No",52.55,NA,NA,NA,NA,"NC",1116.46049356139,447,32031,39978,21.2,72.9,5.9,0.4234
"23","BAILEY","2","568","No","No","No","No","Yes",NA,NA,NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",809.191869678103,215,39018,54692,14.4,66.9,18.6,0.3606
"24","BAKERSVILLE","2","450","No","No","No","Yes","Yes","70",NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",113.1,12.75,NA,NA,0,"NC",592.022541982744,304,53750,77581,17.9,70.2,11.9,0.5303
"25","BALD HEAD ISLAND","2","270","Yes","No","No","Yes","No","1200","1200","1200","Dropoff","Both","None","Curbside","No",NA,"No",690,210.1,NA,NA,1300,"NC",68.976758166356,NA,NA,NA,NA,NA,NA,NA
"26","BANNER ELK","2","1046","No","No","No","Yes","Yes","136","43",NA,"Both","Curbside","None","None","No",NA,"No",44.95,42.05,NA,NA,NA,"NC",544.803408103453,352,53750,123028,1.8,44.8,53.5,0.5887
"27","BATH","2","244","No","No","No","Yes","No","266",NA,"266","None","Curbside","None","Curbside","No",NA,"No",113,NA,0,41.3,0,"NC",683.281812239576,122,52500,89764,3.9,54.6,41.5,0.53
"28","BAYBORO","2","1160","No","No","No","Yes","Yes","189",NA,NA,"None","Curbside","None","None","Yes",NA,"No",162.36,NA,NA,NA,NA,"NC",626.112845031149,266,35323,39404,17,78.1,4.9,0.4016
"29","BEAR GRASS","2","89","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",350.963997236094,33,48875,58212,11.7,76.7,11.6,0.3113
"30","BEAUFORT","2","4457","No","No","No","No","Yes","2532","2532","2532","Curbside","Curbside","None","Curbside","Yes",NA,"No",2140.04,459.22,NA,NA,17109.95,"NC",879.764872820549,2160,36466,51628,9.5,64,26.6,0.4987
"31","BEECH MOUNTAIN","2","673","Yes","No","No","No","Yes","2152","2152",NA,"Dropoff","Curbside","None","Curbside","No",NA,"No",1584.51,119.72,NA,NA,20.8,"NC",103.847344604167,350,72917,96651,3.2,51.9,44.8,0.4251
"32","BELHAVEN","2","1406","No","No","No","Yes","Yes","818",NA,"818","Dropoff","Curbside","None","Curbside","Yes",NA,"No",1717,16,367,0,0,"NC",884.018290329948,608,29333,50107,21.1,66.9,12,0.5514
"33","BELMONT","2","15052","No","No","No","Yes","Yes","6028","6022","6028","Both","Curbside","None","Curbside","Yes",NA,"No",5259.99,921.82,0,654.45,0,"NC",1237.89051599359,4515,73968,112623,9.2,48.7,42.1,0.5338
"34","BELVILLE","2","2421","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",1420.41474061738,1047,66750,71109,9.6,59.7,30.6,0.3239
"35","BELWOOD","2","859","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",69.8470625065246,365,42119,57859,11.1,79.3,9.5,0.3721
"36","BENSON","2","3998","No","No","No","Yes","Yes","1714","1200","1714","Curbside","Curbside","None","Curbside","Yes",NA,"No",1189.76,287.56,NA,NA,305.76,"NC",1425.37132254782,1433,45268,55560,17.5,56.3,26.2,0.4969
"37","BERMUDA RUN","2","3128","No","No","No","Yes","No","1535",NA,NA,"None","Curbside","None","None","Yes",NA,"No",1590.7,NA,NA,NA,NA,"NC",1253.56470351324,1430,71082,87052,1.1,54.5,44.4,0.3781
"38","BESSEMER CITY","2","5444","No","No","No","No","Yes","2231",NA,"2231","None","Curbside","None","Curbside","Yes",NA,"No",2634.34,NA,704,0,0,"NC",1041.86497820773,1882,39055,51762,24.7,66.5,9,0.4128
"39","BETHANIA","2","345","No","No","No","Yes","No","179","179",NA,"Curbside","Curbside","None","None","Yes",NA,"No",150.15,52,NA,NA,NA,"NC",508.467323222647,155,70656,115066,9.8,64.8,25.3,0.4958
"40","BETHEL","2","1371","No","No","No","No","Yes","654",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",1302.78797709613,842,42500,53834,18.7,61.7,19.6,0.4537
"41","BEULAVILLE","2","1106","No","No","No","No","Yes","675","675","675","Curbside","Curbside","None","Curbside","No",NA,"No",1131.94,31.06,64.25,0,0,"NC",716.14818390618,785,32358,50773,17.8,62.2,20.1,0.5096
"42","BILTMORE FOREST","2","1413","No","No","No","Yes","No","689","689","689","Curbside","Curbside","None","Curbside","Yes",NA,"No",404.97,222.03,NA,NA,2010,"NC",485.547451550297,588,164000,316620,0.4,15.3,84.3,0.5615
"43","BISCOE","2","1847","No","No","No","Yes","No","908",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",1124.06,NA,0,53.59,0,"NC",685.653633730843,826,44792,50895,27.7,55.4,17,0.3465
"44","BLACK CREEK","2","691","No","No","No","No","Yes","416","416","343","Curbside","Curbside","None","Curbside","Yes",NA,"No",492.88,46.13,36,0,0,"NC",974.200746194797,317,49219,56631,15,78,7.1,0.3887
"45","BLACK MOUNTAIN","2","8450","No","No","No","Yes","No","4612","4612","4612","Curbside","Curbside","None","Curbside","No",NA,"No",2620.66,646.94,65.89,0,0,"NC",1258.99767275408,4084,55975,70082,7.2,35.7,57.1,0.4416
"46","BLADENBORO","2","1637","No","No","No","Yes","Yes","881",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",703.9,NA,NA,NA,NA,"NC",738.976391187156,849,43783,49192,16.3,69.5,14.1,0.4678
"47","BLOWING ROCK","2","1371","No","No","No","Yes","Yes","2060","2060",NA,"Curbside","Curbside","None","Curbside","No",NA,"No",2153.46,219.65,110,0,NA,"NC",423.073354095123,618,83333,110378,3.3,34.9,61.8,0.4327
"48","BOARDMAN","2","165","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",53.4289568146144,125,49250,51637,18.2,75.2,6.6,0.2608
"49","BOGUE","2","694","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",252.696402539685,340,76528,83939,7.9,75.7,16.4,0.3124
"50","BOILING SPRING LAKES","2","5980","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",248.208800896628,2574,51742,58914,3.6,83.8,12.4,0.3955
"51","BOILING SPRINGS","2","4624","Yes","No","No","Yes","Yes","1460","1360","1400","Curbside","Curbside","None","Curbside","Yes",NA,"No",255,244,200,0,0,"NC",1032.00986484781,1166,73457,82736,8.6,46,45.4,0.4283
"52","BOLIVIA","2","150","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",235.75537433392,68,32500,44894,11.2,53.7,35.1,0.3794
"53","BOLTON","2","515","No","No","No","No","Yes","225",NA,NA,"None","Curbside","None","None","Yes",NA,"No",346.5,NA,NA,NA,NA,"NC",142.963729565477,246,42333,51429,25.3,70.9,3.9,0.3886
"54","BOONE","2","19046","No","No","No","Yes","No","2518","2518","2518","Both","Curbside","Backyard","Curbside","No",NA,"Yes",1872.02,2590.95,460.09,0,-5,"NC",3017.62074534083,6005,25535,48923,12.7,39.2,48.1,0.602
"55","BOONVILLE","2","1184","Yes","Yes","No","Yes","Yes","477","477","477","Curbside","Curbside","None","Curbside","Yes",NA,"No",429.59,71.39,24.57,0,0,"NC",987.268856535129,616,52500,57090,7,71.2,21.6,0.393
"56","BOSTIC","2","354","No","No","No","Yes","Yes","118",NA,NA,"None","Curbside","None","None","No",NA,"No",78.04,NA,NA,NA,NA,"NC",379.575459027844,147,34107,55314,16.3,71.7,12,0.4757
"57","BREVARD","2","7727","No","No","No","Yes","Yes","2968","2968","2968","Curbside","Curbside","None","Curbside","No",NA,"No",3135,714,2912,0,0,"NC",1444.3354843462,3549,37878,59656,8.7,56.5,34.9,0.4697
"58","BRIDGETON","2","348","No","No","No","Yes","No","212","212","212","Curbside",NA,"None","None","No",NA,"No",NA,216,NA,NA,NA,"NC",170.040250587414,156,46667,61676,7.4,59.8,32.9,0.4195
"59","BROADWAY","2","1273","No","No","No","Yes","Yes","685","685",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",587.6,119.25,NA,NA,94.9,"NC",983.632609164218,620,56154,97002,16.3,59.2,24.5,0.5173
"60","BROOKFORD","2","443","No","No","No","Yes","Yes","156",NA,NA,"None","Curbside","None","None","No",NA,"No",250.6,NA,NA,NA,NA,"NC",694.748975533415,194,38214,46352,15.1,79,5.9,0.412
"61","BRUNSWICK","2","971","No","No","No","No","Yes","209",NA,"209","None","Curbside","None","Curbside","Yes",NA,"No",87.98,NA,0,74.09,0,"NC",1619.92080690854,202,16813,30515,23.4,73,3.7,0.4693
"62","BRYSON CITY","2","1555","No","No","No","Yes","Yes","675","675",NA,"Curbside","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",712.103222070624,724,35357,51695,19.6,53,27.4,0.4474
"63","BUNN","2","329","No","No","No","No","Yes",NA,NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",NA,30.5,NA,NA,NA,"NC",609.721622522473,205,44750,45702,12.8,67.3,19.9,0.3505
"64","BURGAW","2","3700","No","No","No","No","Yes","1225","1225","1225","Curbside","Curbside","None","Curbside","Yes",NA,"No",1092,430.74,NA,NA,1464.5,"NC",780.819472952177,1318,47302,53493,22,56.9,21.1,0.423
"65","BURLINGTON","2","57493","No","Yes","No","Yes","Yes","18244","18244","18244","Curbside","Curbside","None","Curbside","Yes",NA,"No",18314.83,3361.31,NA,NA,9055.06,"NC",1909.99699025043,22739,45587,64544,16.6,57.2,26.3,0.4826
"66","BURNSVILLE","2","1616","No","No","No","Yes","No","640","640","640","Curbside","Curbside","None","Curbside","No",NA,"No",443.02,76.24,NA,NA,121,"NC",1009.79652323403,832,33222,58253,12.6,66.3,20.9,0.5601
"67","BUTNER","2","8401","No","No","No","Yes","No",NA,"2767",NA,"Dropoff",NA,"None","None","No",NA,"No",NA,95.62,NA,NA,NA,"NC",598.954809539807,2790,60448,65934,19.6,60.4,20.1,0.3446
"68","CALABASH","2","2023","No","No","No","Yes","No","1135","1135","1135","Dropoff","Curbside","None","Curbside","Yes",NA,"No",NA,94,NA,NA,180.4,"NC",459.69873323923,959,36936,44691,15.8,63.1,21.1,0.4247
"69","CALYPSO","2","324","No","No","No","No","Yes","246","198","204","Curbside","Curbside","None","Curbside","No",NA,"No",266.18,18.24,0,84.32,2.94000000000001,"NC",323.644503034789,273,41850,52274,19.8,73.5,6.7,0.3484
"70","CAMERON","2","245","No","No","No","Yes","Yes","150",NA,"150","None","Curbside","None","Curbside","Yes",NA,"No",185.12,NA,0,10,0,"NC",202.111964912367,162,60729,64343,6.2,66.6,27.1,0.315
"71","CANDOR","2","812","No","No","No","Yes","Yes","367",NA,NA,"None","Both","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",400.961196636309,369,41705,47497,38.1,46.6,15.3,0.3263
"72","CANTON","2","4424","No","No","No","Yes","Yes","1866","830","1866","Curbside","Curbside","None","Curbside","No",NA,"No",1114.87,138.18,260,0,0,"NC",1189.06117557252,1743,47899,59217,20.2,68.6,11.1,0.3982
"73","CAPE CARTERET","2","2220","No","No","No","Yes","No","1102","1102",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,152.75,NA,NA,235,"NC",879.708458472224,1082,78056,84755,2.8,61.5,35.6,0.379
"74","CAROLINA BEACH","2","6565","Yes","No","No","No","Yes","4828","4828","4828","Curbside","Curbside","None","Curbside","Yes",NA,"No",6259.83,1418.03,0,432.9,-276.9,"NC",2677.45377543123,2799,68773,94562,3.4,53.2,43.4,0.4644
"75","CAROLINA SHORES","2","4616","No","No","No","Yes","No","2450","2450","2450","Dropoff","Drop-off","None","Dropoff","No",NA,"No",NA,170.64,616.25,0,0,"NC",1718.90430707812,2253,57454,70473,3.4,72.9,23.7,0.3702
"76","CARRBORO","2","21344","No","No","Yes","Yes","Yes","9240",NA,"4387","None","Curbside","Backyard","Curbside","Yes",NA,"Yes",6778.7,NA,2093.74,0,0,"NC",3296.16526517294,8954,67469,91117,4.5,25.9,69.7,0.4759
"77","CARTHAGE","2","2789","No","No","No","No","Yes","1214","1214","1214","Dropoff","Curbside","None","Curbside","Yes",NA,"No",NA,13.12,NA,NA,182,"NC",419.642945341539,1022,41731,56451,8.6,72.2,19.2,0.4303
"78","CARY","2","175635","Yes","No","No","Yes","Yes","53580","53580","53580","Both","Curbside","Backyard","Curbside","Yes",NA,"Yes",39671,13084,20740,0,0,"NC",2965.15208006271,63519,107463,135850,3.7,27.8,68.5,0.4169
"79","CASAR","2","306","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",174.814878269754,110,48125,61661,15,72,12.9,0.5117
"80","CASTALIA","2","264","No","No","No","No","Yes","119","119",NA,"Curbside","Curbside","None","None","Yes",NA,"No",60.21,11.86,NA,NA,NA,"NC",350.744731248464,121,32292,48755,15.7,71.2,13,0.4389
"81","CASWELL BEACH","2","397","No","No","No","Yes","Yes","628","628","628","Curbside","Curbside","None","Curbside","Yes",NA,"No",152,175,NA,NA,1000.2,"NC",133.71226818119,235,122813,139028,0.2,44.7,55.1,0.4212
"82","CATAWBA","2","703","No","No","No","Yes","Yes","281","293","293","Curbside","Curbside","None","Curbside","Yes",NA,"No",403.32,41.76,NA,NA,1,"NC",158.583839605798,298,38750,41272,18.9,74,7.1,0.4707
"83","CEDAR POINT","2","1761","No","No","No","No","Yes","819","819","819","Curbside","Both","None","Curbside","Yes",NA,"No",654.35,122.19,NA,NA,160,"NC",791.82899541519,827,79875,108350,4.1,51.3,44.6,0.4455
"84","CEDAR ROCK","2","301","No","No","No","No","No","135",NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",106.37,NA,NA,NA,NA,"NC",263.862739299107,NA,NA,NA,NA,NA,NA,NA
"85","CERRO GORDO","2","130","No","No","No","Yes","Yes","96",NA,NA,"None","Curbside","None","None","Yes",NA,"No",24,NA,NA,NA,NA,"NC",164.609625693006,167,NA,32404,15.5,71.9,12.6,0.6359
"86","CHADBOURN","2","1562","No","No","No","No","Yes","830","830","830","Dropoff","Curbside","None","Curbside","Yes",NA,"No",454.31,1.89,278.04,0,0,"NC",600.453762539853,764,23750,39676,20.5,71.8,7.8,0.5391
"87","CHAPEL HILL","2","62080","Yes","No","Yes","Yes","No","12495",NA,"12210","None","Curbside","Backyard","Curbside","Yes",NA,"No",12957,NA,6280,0,0,"NC",2876.75704298409,19856,75249,125312,3.6,19.6,76.9,0.5483
"88","CHARLOTTE","2","876694","Yes","No","No","Yes","Yes","366100","366100","224062","Curbside","Curbside","None","Curbside","Yes",NA,"No",340756.95,50189,52042.67,0,0,"NC",2843.77703424793,338985,65359,98462,10.6,44.6,44.7,0.4974
"89","CHERRYVILLE","2","6096","No","Yes","No","No","Yes","2700","2700",NA,"Dropoff","Curbside","None",NA,"Yes",NA,"No",3355.32,203,NA,NA,NA,"NC",1104.2734728809,2394,49420,60123,11.3,67.8,20.8,0.4157
"90","CHINA GROVE","2","4456","No","No","No","Yes","No","1928",NA,NA,"None","Curbside","None","Curbside","No",NA,"No",2014.61,NA,NA,NA,NA,"NC",1246.77349537591,2011,38710,60638,23.7,61.2,15,0.5041
"91","CHOCOWINITY","2","720","Yes","No","No","Yes","Yes","450",NA,"442","None","Curbside","None","Curbside","Yes",NA,"No",315.07,NA,NA,NA,269.4,"NC",714.88019507333,609,26996,38104,10.1,82,7.8,0.4216
"92","CLAREMONT","2","1695","No","No","No","Yes","Yes","689","677","677","Curbside","Curbside","None","Curbside","Yes",NA,"No",587.65,108.99,5,0,0,"NC",595.005517921471,817,54830,69928,8.3,71,20.7,0.4038
"93","CLARKTON","2","610","No","No","No","Yes","Yes","550",NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",489.698659059188,337,17875,33116,13,74.9,12,0.5171
"94","CLAYTON","2","26517","Yes","No","No","No","Yes","9072","9055","9072","Curbside","Curbside","Backyard","Curbside","Yes",NA,"No",8111.02,1986.35,777,0,-0.32000000000005,"NC",1739.53163730616,8337,61954,80571,6.3,63,30.7,0.4351
"95","CLEMMONS","2","21202","No","No","No","Yes","No","6992","6187","3360","Both","Curbside","None","Curbside","Yes",NA,"No",5142.3,1378.86,5978,0,0,"NC",1783.33958972258,NA,NA,NA,NA,NA,NA,NA
"96","CLEVELAND","2","848","No","No","No","Yes","No","328","215",NA,"Curbside","Curbside","None","None","Yes",NA,"No",339.89,44.37,NA,NA,NA,"NC",552.519120988236,425,48750,53874,12.1,65.3,22.6,0.3635
"97","CLINTON","2","8357","No","Yes","Yes","Yes","Yes","3800","2909","3800","Both","Curbside","None","Curbside","Yes",NA,"No",8782,160.49,1281,0,0.660000000000082,"NC",1095.28418131322,3125,33679,60275,20.1,57.2,22.8,0.5672
"98","CLYDE","2","1369","No","No","No","No","Yes","569","512","569","Curbside","Curbside","None","Curbside","No",NA,"No",825,78.19,79,0,0,"NC",1577.67996182303,577,57721,62070,6.3,72.8,21,0.3555
"99","COATS","2","2159","No","Yes","No","No","Yes","1019","1019","1019","Curbside","Curbside","None","Curbside","Yes",NA,"No",739.12,146.77,0,330.81,0,"NC",1528.28720284441,1093,39659,44729,20.3,65.3,14.3,0.3843
"100","COFIELD","2","264","No","No","No","No","Yes","124","124",NA,"Curbside","Curbside","None","None","No",NA,"No",132.59,2.08,NA,NA,NA,"NC",84.0566159261809,NA,NA,NA,NA,NA,NA,NA
"101","COLERAIN","2","216","No","No","No","No","Yes","125",NA,"125","None","Curbside","None","Curbside","Yes",NA,"No",120,NA,NA,NA,70,"NC",821.640015075806,114,64722,105039,3.9,79,17.2,0.4399
"102","COLUMBIA","2","590","Yes","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",485.663002510483,342,17024,28266,27.5,65.2,7.3,0.4368
"103","COLUMBUS","2","1055","No","No","No","No","Yes","701","423","701","Curbside","Curbside","None","Curbside","No",NA,"No",360.67,72.18,52.1,82,0,"NC",280.831821452291,542,43125,52086,15.3,63,21.6,0.4366
"104","COMO","2","66","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",20.9828105973868,42,35000,46426,7.4,86.2,6.3,0.4136
"105","CONCORD","2","105936","Yes","No","No","Yes","Yes","35094","35094","35094","Curbside","Curbside","Backyard","Curbside","Yes",NA,"No",36427,5480,10347,0,0,"NC",1668.84100912529,33059,70973,95822,10.9,50.8,38.3,0.4623
"106","CONETOE","2","197","No","No","No","Yes","No","116",NA,"116","None","Curbside","None","Curbside","Yes",NA,"No",NA,NA,29.74,0,0,"NC",547.899001474479,147,31589,41510,10,86,4,0.3071
"107","CONNELLY SPRINGS","2","1525","No","No","No","No","No","819","819",NA,"Dropoff","Curbside","None","None","Yes",NA,"No",705.93,15.1,NA,NA,NA,"NC",305.586245751773,894,44625,73987,20.2,68.2,11.4,0.5069
"108","CONOVER","2","8437","Yes","No","No","No","Yes","3060","1903","3060","Both","Curbside","None","Curbside","Yes",NA,"No",3099.68,461.57,1173.34,0,208,"NC",755.258661892696,3362,48989,67147,15,64.4,20.6,0.4374
"109","CONWAY","2","742","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",406.875959160753,275,38203,55520,14.9,66.9,18.2,0.5308
"110","COOLEEMEE","2","942","No","No","No","Yes","No","455",NA,NA,"None","Curbside","None","None","Yes",NA,"No",327.56,NA,NA,NA,NA,"NC",1252.11573720045,387,46250,56704,13.6,70.4,16,0.4217
"111","CORNELIUS","2","31489","No","No","No","Yes","No","10542","10542","10542","Curbside","Curbside","None","Curbside","Yes",NA,"No",9624.08,2003.08,2012.97,0,0,"NC",2492.01722571613,12363,90377,140643,3.2,42.3,54.4,0.5136
"112","COVE CITY","2","377","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",591.217296700556,238,47857,64293,18,61.4,20.4,0.4301
"113","CRAMERTON","2","5312","No","No","No","Yes","No","2097","2085","1875","Curbside","Curbside","None","Curbside","Yes",NA,"No",2141,906,469,0,0,"NC",1377.21953169924,1757,87927,106051,4.7,56.6,38.7,0.396
"114","CREEDMOOR","2","4869","No","No","No","Yes","Yes","1643","1639","1643","Curbside","Curbside","None","Curbside","No",NA,"No",1476.13,236.44,48.46,0,0,"NC",910.785490489371,1657,78119,80441,9.6,55,35.3,0.3305
"115","CRESWELL","2","206","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",363.99143313965,89,25875,65125,9.8,79.6,10.6,0.6649
"116","CROSSNORE","2","212","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",473.514916101892,19,79375,73742,0,76.3,23.7,0.2042
"117","DALLAS","2","5945","No","Yes","No","Yes","Yes","2283",NA,NA,"None","Curbside","None","None","Yes",NA,"No",3444,NA,NA,NA,NA,"NC",2023.62898912167,1673,46189,58637,21,66,13.1,0.4482
"118","DANBURY","2","189","No","No","No","Yes","No","59","59","0","Curbside","Curbside","None","None","Yes",NA,"No",50.97,9.64,NA,NA,0,"NC",252.003254032091,60,85909,74307,11.5,47.3,41.2,0.2593
"119","DAVIDSON","2","15140","No","No","No","Yes","Yes","4491","4491","4491","Both","Curbside","Backyard","Curbside","Yes",NA,"Yes",3408.58,899.85,432.3,0,0,"NC",2404.91762668488,4473,131144,164400,2.7,23.4,73.9,0.4322
"120","DENTON","2","1496","No","No","No","Yes","Yes","807","807","757","Curbside","Curbside","None",NA,"Yes",NA,"No",426.48,121.32,NA,NA,141.75,"NC",711.434596353942,584,35250,46846,20,64.4,15.6,0.4204
"121","DILLSBORO","2","213","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",445.482664957335,114,48000,53050,3,44.4,52.6,0.4222
"122","DOBBINS HEIGHTS","2","684","No","No","No","Yes","No","822",NA,"822","None","Curbside","None","Curbside","Yes",NA,"No",NA,NA,15.93,0,0,"NC",774.83945676015,425,19583,31170,20.1,71.9,7.9,0.4986
