"","Municipality","Households","Households w/ Trash and Recycling","% of Households Served by Municipality","Trash Tonnage","Recycling Tonnage","Food Waste","Yard Waste","E-Waste","C&D","Trash Service Type","Provide Trash Bins","Recycling Service Type","Recycling Collection Frequency","RecyclingBins","Food Waste Service Type","Municipal Buildings Trash and Recycling Service","School Trash and Recycling Service","Business Trash and Recycling Service","Non-resident Trash and Recycling Service","Property Tax","Annual Fee","Transfer Station Access Fee","Per-Visit Fee","PAYT/SMART","Enforced Mandatory Recycling","Dedicated Mandatory Recycling Enforcement Personnel","Compost Bin Distribution Program","diversion"
"98","Fairhaven","6721",6513,0.969052224371373,5604,1603.85,NA,"525","9.34","37","Curbside","Yes","Both","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,"Yes",NA,"No",NA,NA,NA,0.222514342002123
"99","Fall River","36724",31352,0.853719638383618,29133.35,9883.47,NA,"3969","94.02",NA,"Both","Yes","Curbside","Weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.2533130583169
"100","Falmouth","21000",21000,1,13031.79,3535.85,NA,NA,NA,NA,"Both",NA,"Curbside","Bi-weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.213419050631231
"101","Fitchburg","17012",13500,0.793557488831413,13510.02,3368.86,NA,"460.36",NA,NA,"Both","Yes","Both","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes","Yes",NA,0.199590257173462
"102","Florida","350",191,0.545714285714286,345.45,58.9,NA,"9.4499999999999993","2.77",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither","Yes",NA,"Yes",NA,"No","Yes",NA,"Yes",0.145665883516755
"104","Framingham","26194",18355,0.70073299228831,19047,6703.94,NA,"183.98","47.58",NA,"Both","Yes","Both","Weekly","Yes","None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.260337680876892
"105","Franklin","10010",9405,0.93956043956044,7867.28,4249.88,NA,"243","34.79",NA,"Curbside","Yes","Both","Weekly","Yes","None","Both","Both","Both","Neither",NA,"Yes",NA,NA,"No","Yes","No",NA,0.350732349824546
"106","Freetown","4261",2349,0.551279042478292,1879.46,724.89,NA,NA,NA,NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,0.278338164993184
"107","Gardner","8228",6617,0.804205153135634,4946.13,1509.72,NA,NA,"5.61",NA,"Both","Yes","Both","Bi-weekly","Yes","None","Both","Both","Recycling","Neither",NA,"Yes","Yes",NA,"No",NA,NA,"Yes",0.233853017031065
"109","Gill","513",513,1,196.72,121.69,NA,NA,NA,NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.382180207908043
"110","Gloucester","13825",12850,0.929475587703436,7112.63,3461.06,"135.19999999999999","600",NA,NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes","No",NA,0.327327546012792
"111","Goshen","561",250,0.445632798573975,133.76,65.65,NA,NA,"0.95",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No","Yes",0.329221202547515
"113","Grafton","6476",5154,0.7958616429895,3901.97,2436.25,NA,NA,NA,NA,"Curbside",NA,"Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,0.384374477376929
"114","Granby","3079",3079,1,2024.3,531.27,NA,"9.99",NA,NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,0.207887085855602
"115","Granville","562",450,0.800711743772242,171.1,101.9,NA,NA,"6.16",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,0.373260073260073
"117","Greenfield","5604",5059,0.902748037116345,3960,1869.73,NA,"31.91","12.54","125","Both",NA,"Both","Bi-weekly","No","Drop-off","Both","Recycling","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.320723258195491
"118","Groton","3917",1508,0.384988511616033,1018.5,599.23,"2.25","2.4300000000000002","21.79","246","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Recycling","Both","Recycling","Yes",NA,"Yes",NA,"Yes",NA,NA,"Yes",0.370414098768027
"120","Hadley","2208",550,0.249094202898551,275.7,184.2,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,"Yes",NA,"Yes",NA,NA,NA,0.400521852576647
"121","Halifax","3600",2723,0.756388888888889,663.37,363.07,NA,NA,"12.68",NA,"Curbside",NA,"Both","Bi-weekly","No","None","Both","Both","Neither","Neither",NA,NA,NA,NA,"Yes","Yes","Yes","Yes",0.353717703908655
"122","Hamilton","2655",2655,1,1678.79,1214.01,"286.49",NA,"7.59",NA,"Curbside","Yes","Curbside","Weekly","No","Curbside","Both","Neither","Both","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,0.419666067477876
"124","Hancock","315",250,0.793650793650794,281.09,80.05,NA,"5.4","7.25",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither","Yes",NA,"Yes",NA,"No","Yes",NA,"Yes",0.221659190341696
"125","Hanover","5000",5000,1,5374.38,1133.01,NA,"1500","29.1","388","Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,NA,0.174111279637458
"126","Hanson","3815",2000,0.524246395806029,748,593.92,NA,"1000",NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Neither","Neither","Neither","Neither","Yes","Yes",NA,NA,"Yes","Yes","No","Yes",0.442589722189102
