"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.3991","0.0927","1600000US3724198","Forest Oaks CDP, North Carolina"
"0.4301","0.0634","1600000US3724380","Foscoe CDP, North Carolina"
"0.5618","0.0671","1600000US3724440","Fountain town, North Carolina"
"0.4187","0.0565","1600000US3724520","Four Oaks town, North Carolina"
"0.4070","0.0545","1600000US3724570","Foxfire village, North Carolina"
"0.4222","0.0471","1600000US3724640","Franklin town, North Carolina"
"0.4325","0.0533","1600000US3724720","Franklinton town, North Carolina"
"0.3755","0.0471","1600000US3724740","Franklinville town, North Carolina"
"0.3957","0.0585","1600000US3724900","Fremont town, North Carolina"
"0.4055","0.0855","1600000US3725020","Frisco CDP, North Carolina"
"0.4397","0.0629","1600000US3725160","Fruitland CDP, North Carolina"
"0.3985","0.0235","1600000US3725300","Fuquay-Varina town, North Carolina"
"0.3580","0.0680","1600000US3725380","Gamewell town, North Carolina"
"0.3605","0.0692","1600000US3725460","Garland town, North Carolina"
"0.3916","0.0210","1600000US3725480","Garner town, North Carolina"
"0.3620","0.0909","1600000US3725540","Garysburg town, North Carolina"
"0.3729","0.0555","1600000US3725560","Gaston town, North Carolina"
"0.4746","0.0227","1600000US3725580","Gastonia city, North Carolina"
"0.2660","0.0539","1600000US3725680","Gatesville town, North Carolina"
"0.3100","0.0872","1600000US3725880","Germanton CDP, North Carolina"
"0.4869","0.1580","1600000US3725900","Gerton CDP, North Carolina"
"0.6669","0.2048","1600000US3725940","Gibson town, North Carolina"
"0.3182","0.0277","1600000US3725980","Gibsonville town, North Carolina"
"0.4889","0.1623","1600000US3726200","Glen Alpine town, North Carolina"
"0.5306","0.1383","1600000US3726460","Glen Raven CDP, North Carolina"
"0.2073","0.1310","1600000US3726520","Glenville CDP, North Carolina"
"0.2983","0.1505","1600000US3726560","Glenwood CDP, North Carolina"
"0.3280","0.1031","1600000US3726680","Gloucester CDP, North Carolina"
"0.5769","0.1213","1600000US3726740","Godwin town, North Carolina"
"0.1475","0.1722","1600000US3726800","Gold Hill CDP, North Carolina"
"0.5074","0.0336","1600000US3726880","Goldsboro city, North Carolina"
"0.4120","0.0861","1600000US3726920","Goldston town, North Carolina"
"0.3077","0.1483","1600000US3727120","Gorman CDP, North Carolina"
"0.4828","0.0742","1600000US3727180","Governors Club CDP, North Carolina"
"0.4389","0.0837","1600000US3727182","Governors Village CDP, North Carolina"
"0.4543","0.0388","1600000US3727280","Graham city, North Carolina"
"0.1451","0.1054","1600000US3727300","Graingers CDP, North Carolina"
"0.4639","0.0771","1600000US3727324","Grandfather Village village, North Carolina"
"0.3809","0.0488","1600000US3727400","Grandy CDP, North Carolina"
"0.3719","0.0384","1600000US3727420","Granite Falls town, North Carolina"
"0.3971","0.0549","1600000US3727440","Granite Quarry town, North Carolina"
"0.3576","0.0496","1600000US3727520","Grantsboro town, North Carolina"
"0.3748","0.0734","1600000US3727780","Greenevers town, North Carolina"
"0.4198","0.0806","1600000US3727870","Green Level town, North Carolina"
"0.4974","0.0115","1600000US3728000","Greensboro city, North Carolina"
"0.5045","0.0224","1600000US3728080","Greenville city, North Carolina"
"0.4929","0.1035","1600000US3728200","Grifton town, North Carolina"
"0.5844","0.1959","1600000US3728240","Grimesland town, North Carolina"
"0.4645","0.0644","1600000US3728400","Grover town, North Carolina"
"-","**","1600000US3728600","Gulf CDP, North Carolina"
"0.4206","0.0841","1600000US3728900","Half Moon CDP, North Carolina"
"0.2158","0.1435","1600000US3728920","Halifax town, North Carolina"
"0.2783","0.1293","1600000US3729000","Hallsboro CDP, North Carolina"
"0.4642","0.2098","1600000US3729120","Hamilton town, North Carolina"
"0.4788","0.0868","1600000US3729160","Hamlet city, North Carolina"
"0.5119","0.0554","1600000US3729180","Hampstead CDP, North Carolina"
"0.3904","0.0470","1600000US3729560","Harkers Island CDP, North Carolina"
"0.3653","0.0585","1600000US3729640","Harmony town, North Carolina"
"0.4824","0.2788","1600000US3729680","Harrells town, North Carolina"
"0.3285","0.1278","1600000US3729720","Harrellsville town, North Carolina"
"0.3387","0.0263","1600000US3729800","Harrisburg town, North Carolina"
"0.3403","0.2990","1600000US3730040","Hassell town, North Carolina"
"0.2179","0.0721","1600000US3730100","Hatteras CDP, North Carolina"
